Date,Raw_Cotton_Price,Open,High,Low,Vol.,Change %
7/3/2025,68.46,68.65,68.97,68.21,15.47K,-0.25%
7/2/2025,68.63,68.03,68.74,67.96,16.35K,0.88%
7/1/2025,68.03,68.15,68.75,67.87,22.88K,-0.15%
6/30/2025,68.13,69.35,69.48,67.76,31.04K,-1.72%
6/27/2025,69.32,68.81,69.52,68.76,24.87K,0.76%
6/26/2025,68.8,68.34,69.1,67.83,25.39K,0.70%
6/25/2025,68.32,67.8,68.7,67.65,22.25K,0.78%
6/24/2025,67.79,67.4,68.4,67.34,27.24K,1.36%
6/23/2025,66.88,66.84,67.75,66.84,0.11K,0.27%
6/20/2025,66.7,66.7,67.43,66.41,32.05K,0.04%
6/18/2025,66.67,67.73,67.85,66.51,31.09K,-1.30%
6/17/2025,67.55,68,68.14,67.41,22.25K,-0.69%
6/16/2025,68.02,67.84,68.2,67.71,24.21K,4.07%
6/13/2025,65.36,65.1,65.6,64.79,21.82K,0.34%
6/12/2025,65.14,65.41,65.47,64.69,26.28K,-0.50%
6/11/2025,65.47,65.31,65.79,65.05,26.33K,0.08%
6/10/2025,65.42,66,66.29,65.33,43.57K,-0.86%
6/9/2025,65.99,65.56,66.05,65.43,32.63K,0.56%
6/6/2025,65.62,65.34,65.97,65.18,24.02K,0.40%
6/5/2025,65.36,65.05,65.74,64.71,26.93K,0.57%
6/4/2025,64.99,65.99,66.13,64.93,21.96K,-1.60%
6/3/2025,66.05,66.13,66.36,65.33,31.31K,-0.12%
6/2/2025,66.13,65.16,66.7,65.13,32.83K,1.64%
5/30/2025,65.06,65.03,65.33,64.51,20.32K,0.34%
5/29/2025,64.84,65.45,65.81,64.6,18.95K,-0.75%
5/28/2025,65.33,65.62,65.76,64.91,22.88K,-0.37%
5/27/2025,65.57,66.1,66.79,65.51,21.18K,-0.82%
5/23/2025,66.11,65.74,66.53,65.31,18.29K,0.73%
5/22/2025,65.63,65.96,66.14,65.27,15.73K,-0.67%
5/21/2025,66.07,66.1,66.39,65.61,15.52K,-0.08%
5/20/2025,66.12,65.64,66.34,65.22,17.92K,0.73%
5/19/2025,65.64,65.1,66.05,64.88,21.60K,1.16%
5/16/2025,64.89,65.45,65.89,64.75,19.02K,-0.83%
5/15/2025,65.43,65.53,65.74,64.86,24.62K,-0.08%
5/14/2025,65.48,66.42,66.71,65.43,25.33K,-1.21%
5/13/2025,66.28,66.7,67.23,66.25,19.98K,-0.53%
5/12/2025,66.63,67.61,68.89,66.57,31.55K,0.03%
5/9/2025,66.61,66.69,67.22,66.4,16.36K,-0.12%
5/8/2025,66.69,67.38,67.71,66.22,21.53K,-5.36%
5/7/2025,70.47,70.47,70.47,70.47,24.94K,-2.04%
5/6/2025,71.94,70.85,73.5,70.85,0.01K,2.26%
5/5/2025,70.35,70.35,70.35,70.35,0.00K,0.24%
5/2/2025,70.18,70.18,70.18,70.18,36.51K,6.97%
5/1/2025,65.61,65.61,65.61,65.61,16.00K,-0.62%
4/30/2025,66.02,66.49,66.63,65.71,20.91K,-0.71%
4/29/2025,66.49,67.58,67.81,66.11,26.37K,-1.57%
4/28/2025,67.55,68.8,68.86,67.29,21.71K,-1.82%
4/25/2025,68.8,69.15,69.75,68.45,20.41K,-0.53%
4/24/2025,69.17,68.9,69.48,68.63,28.39K,0.20%
4/23/2025,69.03,67.4,69.6,67.18,45.31K,2.69%
4/22/2025,67.22,66.86,67.37,66.44,22.64K,0.60%
4/21/2025,66.82,67.2,67.4,66.21,19.17K,-0.46%
4/17/2025,67.13,66.3,67.2,66.25,15.23K,1.15%
4/16/2025,66.37,66.12,66.68,65.69,20.15K,0.38%
4/15/2025,66.12,65.35,66.25,65.05,26.30K,1.18%
4/14/2025,65.35,67.07,67.23,65.1,31.47K,-0.82%
4/11/2025,65.89,66.4,67.14,65.56,33.64K,-0.87%
4/10/2025,66.47,66.6,67.62,66.18,41.85K,-0.24%
4/9/2025,66.63,64.71,67,64.25,56.26K,1.65%
4/8/2025,65.55,65.95,66.26,64.74,47.28K,-0.67%
4/7/2025,65.99,62.22,66.15,61.81,67.15K,4.15%
4/4/2025,63.36,64.6,64.66,60.8,72.06K,-2.22%
4/3/2025,64.8,66.06,66.19,64.8,36.47K,-4.42%
4/2/2025,67.8,68.01,68.58,67.66,36.89K,-0.66%
4/1/2025,68.25,66.83,68.32,66.4,38.09K,2.12%
3/31/2025,66.83,66.8,66.97,65.99,27.55K,-0.10%
3/28/2025,66.9,67,67.1,66.5,23.45K,-0.25%
3/27/2025,67.07,65.68,67.09,65.46,27.73K,2.12%
3/26/2025,65.68,65.19,65.99,65.02,18.43K,0.83%
3/25/2025,65.14,65.44,65.87,64.87,18.37K,-0.43%
3/24/2025,65.42,65.39,65.68,64.83,17.07K,0.23%
3/21/2025,65.27,66.08,66.42,65.24,15.30K,-1.23%
3/20/2025,66.08,66.38,66.84,65.76,14.62K,-0.41%
3/19/2025,66.35,66.45,66.61,65.96,15.84K,-0.18%
3/18/2025,66.47,66.9,67.08,66.35,16.63K,-0.76%
3/17/2025,66.98,67.49,67.8,66.8,16.43K,-0.58%
3/14/2025,67.37,66.51,67.63,66.51,22.88K,1.26%
