Report Time,Value,Unit,% Change,Product Name,Sub Product,Market,Exchange Rate
2025-06-06,3.38,USD/Kg,-0.29,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01164446
2025-06-05,3.39,USD/Kg,-0.29,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01164103
2025-06-04,3.40,USD/Kg,-0.29,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01166738
2025-06-03,3.41,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01171426
2025-06-02,3.41,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01169255
2025-05-30,3.41,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01171489
2025-05-29,3.41,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01171100
2025-05-28,3.41,USD/Kg,-0.29,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01171497
2025-05-27,3.42,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01174282
2025-05-26,3.42,USD/Kg,-0.87,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01173715
2025-05-23,3.45,USD/Kg,0.29,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01163127
2025-05-22,3.44,USD/Kg,0.29,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01168217
2025-05-21,3.43,USD/Kg,-0.29,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01169098
2025-05-20,3.44,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01171379
2025-05-19,3.44,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01169583
2025-05-16,3.44,USD/Kg,0.29,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01170341
2025-05-15,3.43,USD/Kg,1.48,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01169943
2025-05-14,3.38,USD/Kg,2.42,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01175774
2025-05-13,3.30,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01177115
2025-05-12,3.30,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01170784
2025-05-09,3.30,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01162318
2025-05-08,3.30,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01179003
2025-05-07,3.30,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01180067
2025-05-06,3.30,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01187352
2025-05-05,3.31,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01181607
2025-05-02,3.31,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01180681
2025-05-01,3.32,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01182575
2025-04-30,3.32,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01174140
